KIC,noise,noise_e,Pg,Pg_e,numax,numax_e,sig,sig_e,a1,a1_e,b1,b1_e,a2,a2_e,b2,b2_e,Ptot,Ptot_e,dnu,dnu_e,dnu02,dnu02_e,fm,fm_e,evoflag
1027337,27.623058,0.31670181,1123.0316,31.903313,75.072067,0.25863611,9.9610123,0.24359341,258.16669,4.7555345,21.74254,0.70763527,238.09448,4.9098987,69.057171,0.9856841,167.40879,2.2181744,6.953449,0.0061365211,0.88441459,0.0093000069,77.408948,0.0065123578,0
1160789,3.3793367,0.034989789,11476.071,523.35242,25.318476,0.18877536,4.6643585,0.14870383,538.83091,15.682851,7.7709225,0.33326547,503.93392,14.218941,23.958869,0.42620189,366.09858,7.7251561,3.6146017,0.0096678793,0.55033788,0.015857683,27.982188,0.010130651,1
1161447,63.107277,0.5080642,4275.3585,184.90075,36.81677,0.2200162,5.7637612,0.17595083,396.88186,10.153233,10.428611,0.4778423,359.35449,9.8337801,35.037365,0.63422108,248.40964,5.00352,4.2189773,0.011775872,0.60752449,0.019347484,37.228649,0.013284832,1
1161618,5.0790248,0.053467506,6101.3782,235.41412,33.909153,0.21885902,5.6814551,0.15909431,425.05797,11.971217,10.277095,0.47743825,416.21944,11.772722,31.077657,0.55238823,294.65743,5.492572,4.1148173,0.01176838,0.60337826,0.019711543,36.432638,0.010864293,1
1162220,14.306195,0.092965,112687.28,6893.8389,11.042437,0.099789973,1.9489165,0.078718556,840.15769,41.220469,3.0137862,0.26394431,898.36034,31.807953,9.7579573,0.21386792,741.20488,18.859367,1.6869364,0.0063057945,0.25095528,0.011358096,11.384534,0.0070863918,0
1162746,14.244007,0.11642367,8612.4633,409.92089,27.853904,0.20599943,4.525718,0.15471066,474.22361,14.74696,8.5976877,0.45288564,489.12527,14.101872,26.340089,0.48029479,312.38914,7.2246501,3.9657977,0.028931697,0.7393536,0.023646184,30.23209,0.024774713,1
1163114,61.513361,0.38611859,43149.644,2442.5918,14.398773,0.11625471,2.3887694,0.090697989,734.58285,26.401567,4.1099486,0.25227155,648.58899,22.759823,13.313037,0.29095634,507.86971,12.654447,1.9027663,0.0058132895,0.26445825,0.0092682743,14.684531,0.0065830396,0
1163359,27.814952,0.20126298,10222.732,546.40245,21.608993,0.16838024,3.4665211,0.13912454,475.61086,15.269632,5.9120391,0.30106614,439.3879,12.242507,20.543979,0.37135684,297.80201,7.4721881,2.6384493,0.0079322489,0.35799549,0.011232745,23.401475,0.0078531067,0
1163621,22.504148,0.20544225,1105.3231,42.386236,50.663737,0.32526841,7.8816004,0.25383177,260.09234,5.7351751,14.482054,0.5475383,248.00016,5.6809986,48.703687,0.75521439,147.71306,3.0772722,5.0054832,0.010746086,0.73456537,0.017858475,54.936356,0.011324572,2
1294122,23.567548,0.26445617,659.03981,22.81326,76.086899,0.31081286,9.2431405,0.31102133,239.02674,4.3295965,20.53401,0.70384777,234.09504,3.9985177,67.542149,0.8390433,123.51511,2.0936076,7.040437,0.0066523899,0.92385087,0.010094178,78.500216,0.0066617151,0
1294385,5.8768501,0.18053086,297.19263,9.2198697,107.89571,0.3453401,12.154212,0.34748376,207.56907,2.9635873,29.221696,0.76471205,190.59521,2.6143084,96.81688,1.0723351,95.121817,1.3839005,9.1364303,0.0083263281,1.1612977,0.012248874,102.29377,0.0070452048,0
1296068,79.095289,0.73591534,2062.9638,73.927755,59.863437,0.25879184,7.9958616,0.23836586,343.35814,7.1218264,14.972182,0.58904188,305.12061,6.1771298,54.494808,0.82505175,203.25781,3.3690766,6.1400248,0.0082228257,0.84995613,0.011954925,62.262409,0.0081118937,0
1296507,61.097214,0.74901784,74.671957,4.4973536,128.34302,0.6731045,11.938003,0.80735219,129.10763,1.9423758,32.581668,0.91137401,113.11401,2.2391483,117.91366,3.2830069,47.205333,1.7264237,10.313101,0.0071847498,1.2784926,0.011711459,126.46582,0.0074599952,0
1429505,27.089669,0.25899198,2704.721,88.46683,55.886413,0.19272004,6.8449222,0.175634,327.69645,6.5242655,14.891478,0.53354937,304.70948,5.7565297,50.773397,0.6714231,215.35063,3.0330357,5.7710462,0.0063160863,0.79420445,0.0091802302,58.241255,0.0059860937,0
1431059,96.324826,2.275569,332.30739,12.3119,171.68555,0.36078348,10.972356,0.41442996,167.74927,2.3674493,41.376939,1.0824268,170.39082,3.3249372,164.98913,4.5821494,95.54897,1.6528568,13.63229,0.0077427412,1.7443267,0.011696182,167.83581,0.0068916925,0
1431599,50.036736,0.28773995,2671761.2,409270.95,2.2910149,0.060615897,0.43589202,0.051885468,2420.0716,228.31461,0.82492496,0.1514021,2309.4345,163.50592,2.1156798,0.075626909,1695.98,104.41688,0.5320638,0.0070680187,0.077368405,0.0066607729,2.3713588,0.0081680978,0
1432587,16.530515,0.10045029,343518.9,31437.39,5.5562693,0.084682759,1.1441859,0.081119664,1089.1225,76.242785,1.5346388,0.18061254,1233.7969,48.589839,5.0569871,0.12359703,989.92574,35.522414,1.0714699,0.0058499766,0.1847571,0.0097213427,6.0891037,0.0053681285,0
1433593,15.744159,0.17151705,452.51872,16.394771,68.775504,0.39409406,9.9798088,0.36759015,226.1695,4.0503211,18.59804,0.60023299,202.36368,3.9442974,62.731914,0.84709019,106.34629,2.1398985,6.2448239,0.0079109226,0.82567737,0.011593156,69.256868,0.0067743133,0
1433730,7.6275288,0.073848195,1911.8516,78.608534,40.27161,0.27546852,6.4224864,0.21432895,325.09613,7.2820332,11.682873,0.44083692,288.79207,7.1382571,38.060288,0.61331963,175.35429,3.7091171,4.0976522,0.0082229424,0.51152025,0.013266007,40.801083,0.0089245509,0
1433803,0.49493076,0.22034299,366.4476,8.2837669,152.30927,0.2521236,14.472745,0.23942553,191.39732,2.1892966,38.382209,0.79482901,177.14363,1.6468466,143.74363,1.2430463,115.28142,1.0537355,12.172148,0.00667623,1.509816,0.010641823,149.50752,0.0061907442,0
1435573,12.256646,0.10582441,12519.525,564.05723,26.642577,0.18074109,4.5475961,0.13361394,539.86448,17.368146,8.7527736,0.45264615,522.81652,17.453884,25.277384,0.51950364,377.58062,7.8419047,3.7319458,0.01431483,0.66157287,0.024907609,28.481663,0.013258117,1
1569842,8.3259206,0.39177017,518.9601,12.793786,135.92012,0.21790148,11.413863,0.21822231,190.42791,2.4633988,34.918438,0.83106459,186.12382,1.9195836,123.67969,1.4826268,121.82701,1.1966332,11.780225,0.0067025761,1.5748442,0.011210089,132.89148,0.005826455,0
1571780,6.0276296,0.066902209,1149.488,42.147111,48.24911,0.30023992,8.2006409,0.21825153,259.2565,5.73986,15.003412,0.52944852,232.47446,6.195495,47.141831,0.82255362,153.66655,2.9703775,4.7260865,0.01094466,0.60554478,0.018989253,51.621416,0.014953507,1
1572175,22.020477,0.21820652,1338.5075,50.726704,55.283196,0.29257814,7.5759507,0.25913636,280.20713,6.1647988,15.675655,0.59883272,265.34215,5.9978347,50.222253,0.75129609,159.35578,3.0004482,5.3934893,0.0087656366,0.70685403,0.012003585,59.455292,0.0088225795,0
1572780,5.4226327,0.043331408,13907.641,868.40004,18.451756,0.17938269,2.9683349,0.130436,542.52611,20.718969,5.3861978,0.34701269,564.16764,17.377633,16.690165,0.31855052,321.35853,9.6083211,2.7318667,0.0092630306,0.42442544,0.016302587,18.451526,0.0071616705,3
1575886,14.501337,0.23574619,203.34188,5.8136884,100.10939,0.44492293,15.035398,0.41753823,169.88113,2.5141052,29.65387,0.75680542,137.82772,3.1046297,94.63268,1.5668124,87.519738,1.4850398,8.0679423,0.01341745,1.0192855,0.02128109,106.00574,0.013199549,0
